employee_id,name,age,gender,department,job_role,salary,monthly_income,years_at_company,education,marital_status,work_life_balance,job_satisfaction,performance_rating,overtime,distance_from_home,attrition
EMP1031,Employee_32,23,Female,Research & Development,Research Scientist,85176,7098,4,Bachelor's Degree,Married,3,3,3,No,29.1,0
EMP1032,Employee_33,37,Male,Research & Development,Research Scientist,122532,10211,11,Bachelor's Degree,Married,2,4,4,No,13.4,0
EMP1033,Employee_34,44,Female,IT,Developer,112860,9405,8,High School,Single,3,4,3,No,25.6,0
EMP1034,Employee_35,24,Male,IT,Developer,84396,7033,6,Bachelor's Degree,Married,4,4,4,Yes,23.7,1
EMP1035,Employee_36,42,Male,IT,Systems Analyst,134928,11244,11,Associate Degree,Married,2,3,3,No,26.1,0
EMP1036,Employee_37,24,Male,Sales,Sales Executive,84768,7064,5,PhD,Single,3,4,3,No,24.6,0
EMP1037,Employee_38,58,Male,Sales,Sales Executive,152808,12734,12,Bachelor's Degree,Single,3,3,4,No,12.8,0
EMP1038,Employee_39,32,Female,IT,Developer,84348,7029,5,Bachelor's Degree,Divorced,3,4,3,No,13.7,0
EMP1039,Employee_40,30,Female,Research & Development,Laboratory Technician,83640,6970,8,Bachelor's Degree,Single,3,4,3,No,7.3,1
EMP1040,Employee_41,31,Female,Sales,Sales Executive,104616,8718,7,Master's Degree,Divorced,2,3,3,No,5.9,0
EMP1041,Employee_42,46,Female,Sales,Sales Executive,145968,12164,15,Associate Degree,Single,4,4,3,No,5.7,0
EMP1042,Employee_43,29,Female,IT,Developer,90036,7503,5,Bachelor's Degree,Divorced,3,2,3,No,24.5,0
EMP1043,Employee_44,32,Male,IT,Manager,150168,12514,5,Bachelor's Degree,Married,4,3,3,No,21.1,0
EMP1044,Employee_45,29,Male,IT,Manager,135636,11303,3,Bachelor's Degree,Single,3,3,2,No,7.6,0
EMP1045,Employee_46,22,Male,Research & Development,Laboratory Technician,57324,4777,2,Master's Degree,Married,3,1,3,Yes,12.7,1
EMP1046,Employee_47,58,Female,Human Resources,HR Manager,184092,15341,14,PhD,Married,3,2,3,No,13.7,0
EMP1047,Employee_48,36,Male,Research & Development,Research Scientist,110184,9182,4,Bachelor's Degree,Married,3,2,3,No,29.4,0
EMP1048,Employee_49,42,Male,Human Resources,HR Specialist,89856,7488,2,Bachelor's Degree,Married,3,4,3,No,26.4,0
EMP1049,Employee_50,47,Female,IT,Developer,122376,10198,11,High School,Single,3,3,1,No,7.0,0
EMP1050,Employee_51,41,Male,Sales,Sales Executive,102900,8575,3,Associate Degree,Married,2,2,3,No,24.4,1
EMP1051,Employee_52,47,Male,IT,Manager,218676,18223,23,Bachelor's Degree,Married,3,4,1,No,4.9,0
EMP1052,Employee_53,54,Male,Sales,Sales Representative,97332,8111,6,Associate Degree,Single,2,2,4,Yes,10.3,1
EMP1053,Employee_54,29,Male,Sales,Sales Representative,58092,4841,1,Bachelor's Degree,Married,3,3,3,No,17.2,0
EMP1054,Employee_55,53,Male,Human Resources,HR Specialist,157548,13129,20,PhD,Married,2,2,2,Yes,4.0,1
EMP1055,Employee_56,43,Male,IT,Developer,92004,7667,3,High School,Divorced,4,3,1,No,29.9,0
EMP1056,Employee_57,57,Male,Sales,Sales Representative,140772,11731,18,Bachelor's Degree,Divorced,3,4,2,Yes,25.3,1
EMP1057,Employee_58,20,Female,Sales,Manager,116052,9671,0,High School,Married,2,2,2,Yes,16.4,1
EMP1058,Employee_59,59,Female,IT,Developer,142260,11855,10,Associate Degree,Single,2,4,4,No,14.7,0
EMP1059,Employee_60,33,Male,IT,Manager,132828,11069,0,Master's Degree,Married,2,4,3,No,22.5,0
EMP1060,Employee_61,54,Male,Human Resources,HR Manager,149388,12449,3,Associate Degree,Single,3,3,3,No,10.2,0
EMP1061,Employee_62,57,Male,IT,Developer,148140,12345,14,Bachelor's Degree,Married,3,4,2,No,12.1,0
EMP1062,Employee_63,27,Female,Human Resources,HR Manager,119856,9988,6,Bachelor's Degree,Single,3,4,3,No,17.6,1
EMP1063,Employee_64,41,Female,Sales,Sales Representative,100320,8360,12,Master's Degree,Married,3,1,3,No,4.2,0
EMP1064,Employee_65,23,Female,Sales,Sales Representative,45864,3822,2,High School,Married,2,4,3,No,18.4,1
EMP1065,Employee_66,31,Female,Human Resources,Manager,158268,13189,7,Bachelor's Degree,Married,3,3,4,No,26.3,0
EMP1066,Employee_67,47,Male,Finance,Financial Analyst,170784,14232,21,Bachelor's Degree,Married,2,2,2,Yes,27.4,1
EMP1067,Employee_68,59,Male,Sales,Sales Executive,177624,14802,20,High School,Married,4,3,4,Yes,18.5,1
EMP1068,Employee_69,53,Male,Sales,Manager,217344,18112,21,Associate Degree,Married,4,3,3,No,6.1,0
EMP1069,Employee_70,45,Female,Research & Development,Research Scientist,155220,12935,16,Bachelor's Degree,Single,2,3,3,No,17.2,0
EMP1070,Employee_71,42,Male,IT,Developer,130488,10874,16,Master's Degree,Single,1,3,3,No,2.1,0
EMP1071,Employee_72,47,Male,IT,Developer,111948,9329,7,Bachelor's Degree,Married,2,3,3,No,26.0,0
EMP1072,Employee_73,47,Female,IT,Manager,159336,13278,2,Bachelor's Degree,Married,2,1,3,No,7.7,1
EMP1073,Employee_74,47,Male,Research & Development,Laboratory Technician,116124,9677,10,Master's Degree,Married,3,1,3,No,28.9,1
EMP1074,Employee_75,26,Male,IT,Developer,69840,5820,1,High School,Single,2,2,3,No,26.9,1
EMP1075,Employee_76,39,Male,Sales,Sales Executive,116496,9708,11,Bachelor's Degree,Married,2,4,3,No,7.4,0
EMP1076,Employee_77,51,Male,Finance,Accountant,129936,10828,12,Bachelor's Degree,Married,3,3,2,Yes,12.7,0
EMP1077,Employee_78,42,Male,IT,Developer,99492,8291,5,Master's Degree,Single,3,3,2,No,2.9,0
EMP1078,Employee_79,50,Female,Human Resources,HR Specialist,103548,8629,6,Associate Degree,Married,3,3,3,No,17.6,0
EMP1079,Employee_80,20,Male,IT,Manager,127464,10622,2,Bachelor's Degree,Single,3,2,3,No,11.3,0
EMP1080,Employee_81,41,Male,Sales,Manager,150588,12549,2,Associate Degree,Married,2,4,3,No,25.4,0
EMP1081,Employee_82,28,Female,Human Resources,HR Manager,133980,11165,8,Bachelor's Degree,Married,3,4,3,No,8.1,0
EMP1082,Employee_83,56,Female,Finance,Financial Analyst,173760,14480,22,PhD,Divorced,3,4,3,Yes,16.1,0
EMP1083,Employee_84,35,Female,Human Resources,Manager,167760,13980,8,Master's Degree,Divorced,4,3,2,Yes,28.4,1
EMP1084,Employee_85,26,Female,IT,Systems Analyst,98568,8214,6,Bachelor's Degree,Single,3,1,3,No,24.1,1
EMP1085,Employee_86,50,Female,IT,Developer,124176,10348,10,Associate Degree,Single,2,1,3,No,10.9,1
EMP1086,Employee_87,32,Female,Research & Development,Laboratory Technician,81684,6807,6,Bachelor's Degree,Married,2,1,3,No,14.4,1
EMP1087,Employee_88,58,Female,Sales,Sales Executive,142896,11908,11,Bachelor's Degree,Married,3,4,3,No,19.2,0
EMP1088,Employee_89,20,Female,IT,Systems Analyst,78792,6566,1,Bachelor's Degree,Single,4,1,3,Yes,7.8,1
EMP1089,Employee_90,23,Female,IT,Systems Analyst,91596,7633,5,Bachelor's Degree,Divorced,3,4,2,No,18.4,0
EMP1090,Employee_91,29,Male,IT,Manager,156468,13039,7,Associate Degree,Single,4,4,4,Yes,11.2,0
EMP1091,Employee_92,54,Female,Research & Development,Manager,172992,14416,5,PhD,Married,4,1,4,No,19.1,0
EMP1092,Employee_93,22,Male,Research & Development,Laboratory Technician,44844,3737,0,Master's Degree,Single,2,3,3,No,10.5,1
EMP1093,Employee_94,24,Female,IT,Developer,76164,6347,3,High School,Married,3,3,3,No,3.2,0
EMP1094,Employee_95,59,Female,Finance,Manager,209928,17494,15,Master's Degree,Married,3,4,4,No,20.1,0
EMP1095,Employee_96,55,Male,Research & Development,Research Scientist,192000,16000,25,Associate Degree,Married,4,1,3,No,14.5,0
EMP1096,Employee_97,55,Female,IT,Developer,139368,11614,13,Bachelor's Degree,Divorced,3,1,1,No,10.5,0
EMP1097,Employee_98,25,Male,Research & Development,Manager,131892,10991,3,Bachelor's Degree,Married,4,1,3,No,19.3,0
EMP1098,Employee_99,36,Female,Sales,Sales Representative,110760,9230,17,Bachelor's Degree,Single,3,4,2,No,26.3,0
EMP1099,Employee_100,48,Male,Research & Development,Manager,228456,19038,25,Bachelor's Degree,Divorced,4,3,2,Yes,1.0,0
EMP1100,Employee_101,48,Male,Finance,Accountant,131700,10975,10,Master's Degree,Single,3,2,4,No,8.9,0
EMP1101,Employee_102,39,Female,Sales,Sales Representative,77040,6420,5,Bachelor's Degree,Married,3,1,3,Yes,7.7,1
EMP1102,Employee_103,46,Female,IT,Manager,188724,15727,13,Associate Degree,Single,2,4,4,Yes,16.4,1
EMP1103,Employee_104,34,Male,Human Resources,HR Specialist,86796,7233,5,Bachelor's Degree,Single,2,3,3,Yes,7.5,1
EMP1104,Employee_105,32,Male,Sales,Sales Representative,97092,8091,14,High School,Single,4,3,3,No,18.4,0
EMP1105,Employee_106,43,Male,IT,Systems Analyst,159288,13274,21,PhD,Single,4,4,2,No,7.1,0
EMP1106,Employee_107,32,Female,Sales,Sales Representative,69048,5754,5,High School,Single,2,4,2,No,17.5,0
EMP1107,Employee_108,22,Male,IT,Developer,63984,5332,1,Master's Degree,Single,3,3,3,No,28.1,1
EMP1108,Employee_109,39,Female,Sales,Manager,167232,13936,8,Master's Degree,Married,3,3,3,No,5.8,0
EMP1109,Employee_110,38,Male,Research & Development,Research Scientist,144696,12058,18,Bachelor's Degree,Married,2,3,3,Yes,5.7,0
EMP1110,Employee_111,29,Male,IT,Developer,88980,7415,6,High School,Married,3,3,3,No,14.4,0
EMP1111,Employee_112,39,Female,Sales,Sales Representative,127848,10654,20,Master's Degree,Single,3,3,3,No,12.5,0
EMP1112,Employee_113,31,Male,Finance,Manager,158688,13224,9,Bachelor's Degree,Married,2,2,4,No,21.8,0
EMP1113,Employee_114,57,Male,Sales,Sales Representative,149724,12477,23,High School,Married,3,1,3,No,17.8,0
EMP1114,Employee_115,56,Male,IT,Developer,172524,14377,22,Bachelor's Degree,Married,2,1,3,Yes,14.2,1
EMP1115,Employee_116,20,Male,Finance,Accountant,66276,5523,0,Bachelor's Degree,Single,3,3,3,No,18.6,1
EMP1116,Employee_117,34,Female,IT,Systems Analyst,115872,9656,8,Associate Degree,Single,2,1,3,No,16.4,1
EMP1117,Employee_118,52,Male,Sales,Sales Representative,145596,12133,23,Bachelor's Degree,Married,4,2,3,Yes,20.9,1
EMP1118,Employee_119,42,Female,IT,Systems Analyst,123684,10307,9,Associate Degree,Married,3,2,2,Yes,22.3,1
EMP1119,Employee_120,41,Male,Research & Development,Laboratory Technician,122328,10194,17,Master's Degree,Married,3,4,2,No,8.1,0
EMP1120,Employee_121,52,Male,Sales,Sales Executive,130560,10880,8,Bachelor's Degree,Single,1,4,4,No,4.1,0
EMP1121,Employee_122,32,Male,IT,Systems Analyst,119736,9978,12,Associate Degree,Single,4,3,4,No,23.2,0
EMP1122,Employee_123,30,Male,IT,Manager,129648,10804,0,Bachelor's Degree,Single,3,3,3,No,11.6,0
EMP1123,Employee_124,54,Female,IT,Systems Analyst,144876,12073,9,Bachelor's Degree,Single,4,3,4,No,23.0,1
EMP1124,Employee_125,45,Male,Sales,Manager,178872,14906,10,Bachelor's Degree,Married,4,3,1,No,23.2,0
EMP1125,Employee_126,35,Male,Human Resources,Manager,178464,14872,14,PhD,Single,2,2,3,No,6.7,0
EMP1126,Employee_127,46,Male,Sales,Sales Representative,119484,9957,17,Bachelor's Degree,Divorced,3,4,2,No,12.6,0
EMP1127,Employee_128,32,Male,Sales,Sales Representative,75732,6311,7,Associate Degree,Married,3,4,1,No,28.9,0
EMP1128,Employee_129,32,Male,Sales,Sales Representative,74976,6248,8,Bachelor's Degree,Married,4,3,3,Yes,19.8,1
EMP1129,Employee_130,56,Female,Sales,Sales Representative,156984,13082,24,Master's Degree,Single,3,3,2,No,3.8,0
EMP1130,Employee_131,52,Male,Sales,Manager,179628,14969,6,Associate Degree,Married,3,3,3,Yes,16.9,0
EMP1131,Employee_132,26,Male,Sales,Sales Executive,70644,5887,0,Bachelor's Degree,Married,3,4,3,No,1.5,0
EMP1132,Employee_133,55,Female,Sales,Sales Executive,123456,10288,5,Bachelor's Degree,Married,1,3,4,Yes,11.3,1
EMP1133,Employee_134,27,Female,IT,Systems Analyst,86040,7170,2,Bachelor's Degree,Married,3,3,4,Yes,6.5,1
EMP1134,Employee_135,27,Female,IT,Manager,151188,12599,8,PhD,Married,4,3,1,No,5.9,0
EMP1135,Employee_136,39,Male,Sales,Sales Representative,75660,6305,4,Associate Degree,Divorced,3,2,2,No,22.4,0
EMP1136,Employee_137,58,Female,Finance,Accountant,150120,12510,13,Master's Degree,Single,3,2,3,Yes,4.4,1
EMP1137,Employee_138,30,Male,Human Resources,Manager,143856,11988,5,Bachelor's Degree,Married,4,4,3,No,27.7,0
EMP1138,Employee_139,57,Female,Sales,Sales Representative,105696,8808,5,Bachelor's Degree,Married,2,4,1,Yes,5.1,1
EMP1139,Employee_140,37,Female,Research & Development,Research Scientist,99576,8298,0,Bachelor's Degree,Divorced,3,3,2,No,27.8,0
EMP1140,Employee_141,25,Male,Sales,Sales Executive,94140,7845,6,Associate Degree,Married,3,4,3,No,28.9,0
EMP1141,Employee_142,48,Female,IT,Systems Analyst,174936,14578,22,High School,Divorced,3,4,2,Yes,5.4,0
EMP1142,Employee_143,50,Female,IT,Developer,123252,10271,8,Bachelor's Degree,Single,3,2,3,Yes,23.7,0
EMP1143,Employee_144,36,Male,Human Resources,HR Manager,129048,10754,6,Bachelor's Degree,Married,3,3,3,No,22.0,0
EMP1144,Employee_145,33,Male,IT,Systems Analyst,125664,10472,13,Bachelor's Degree,Married,3,2,2,Yes,15.0,1
EMP1145,Employee_146,32,Male,IT,Developer,113604,9467,12,Bachelor's Degree,Divorced,3,2,3,No,2.2,0
EMP1146,Employee_147,45,Female,Finance,Manager,170292,14191,8,Bachelor's Degree,Single,4,3,2,No,18.8,0
EMP1147,Employee_148,28,Male,IT,Systems Analyst,90048,7504,1,Bachelor's Degree,Married,3,3,3,No,2.1,0
EMP1148,Employee_149,34,Male,IT,Developer,88584,7382,4,Bachelor's Degree,Single,3,3,4,Yes,2.4,1
EMP1149,Employee_150,24,Female,IT,Manager,131988,10999,3,Bachelor's Degree,Married,2,2,2,No,23.5,0
EMP1150,Employee_151,27,Female,Sales,Sales Executive,93972,7831,7,High School,Married,2,3,2,No,23.3,0
EMP1151,Employee_152,44,Female,Sales,Manager,166500,13875,7,Master's Degree,Married,3,4,3,No,4.3,0
EMP1152,Employee_153,34,Male,Sales,Manager,173244,14437,13,Associate Degree,Divorced,2,4,2,No,13.7,0
EMP1153,Employee_154,40,Male,Research & Development,Research Scientist,142152,11846,14,Bachelor's Degree,Married,4,3,3,No,8.3,0
EMP1154,Employee_155,51,Male,IT,Developer,132072,11006,12,Bachelor's Degree,Married,4,3,3,Yes,5.8,0
EMP1155,Employee_156,32,Female,Sales,Manager,144720,12060,5,Bachelor's Degree,Married,3,4,3,No,17.4,0
EMP1156,Employee_157,35,Female,Research & Development,Manager,159780,13315,9,Bachelor's Degree,Single,4,3,3,No,20.1,0
EMP1157,Employee_158,32,Male,Finance,Accountant,112848,9404,11,High School,Married,3,4,3,Yes,22.6,1
EMP1158,Employee_159,25,Female,Sales,Sales Representative,65412,5451,7,Associate Degree,Married,1,3,2,Yes,7.3,1
EMP1159,Employee_160,23,Female,Sales,Sales Executive,85020,7085,5,High School,Married,3,2,2,Yes,22.0,1
EMP1160,Employee_161,37,Male,Sales,Sales Representative,118836,9903,18,Master's Degree,Single,3,4,3,No,2.7,0
EMP1161,Employee_162,55,Female,IT,Developer,147012,12251,14,Bachelor's Degree,Married,3,3,3,No,30.0,0
EMP1162,Employee_163,34,Female,Finance,Accountant,128532,10711,15,Bachelor's Degree,Divorced,2,4,3,No,6.9,0
EMP1163,Employee_164,25,Male,IT,Manager,143436,11953,5,Bachelor's Degree,Divorced,3,3,3,No,7.5,0
EMP1164,Employee_165,25,Female,Sales,Sales Executive,93504,7792,7,Bachelor's Degree,Single,3,2,2,No,22.2,1
EMP1165,Employee_166,44,Female,IT,Systems Analyst,120204,10017,6,Associate Degree,Single,2,2,3,No,8.2,0
EMP1166,Employee_167,25,Female,IT,Systems Analyst,79776,6648,1,Master's Degree,Single,3,2,2,No,17.3,1
EMP1167,Employee_168,30,Female,Sales,Sales Representative,88176,7348,11,Master's Degree,Single,4,3,2,No,23.8,0
EMP1168,Employee_169,43,Male,Human Resources,HR Specialist,103056,8588,8,PhD,Married,1,3,3,No,1.6,0
EMP1169,Employee_170,53,Female,Finance,Financial Analyst,107532,8961,1,High School,Married,2,3,4,No,3.4,0
EMP1170,Employee_171,29,Female,Finance,Manager,146172,12181,7,Bachelor's Degree,Divorced,3,4,3,No,4.2,0
EMP1171,Employee_172,39,Female,Sales,Sales Executive,125100,10425,14,Bachelor's Degree,Married,3,2,4,No,26.5,0
EMP1172,Employee_173,21,Male,IT,Systems Analyst,84696,7058,3,Bachelor's Degree,Single,3,3,2,No,24.2,0
EMP1173,Employee_174,31,Female,Finance,Financial Analyst,98724,8227,4,Bachelor's Degree,Single,4,2,3,No,10.1,0
EMP1174,Employee_175,31,Female,Research & Development,Laboratory Technician,95892,7991,10,Master's Degree,Married,2,2,4,Yes,29.5,1
EMP1175,Employee_176,56,Female,Research & Development,Research Scientist,152628,12719,11,PhD,Married,3,4,2,No,22.5,0
EMP1176,Employee_177,23,Female,IT,Manager,137328,11444,4,Bachelor's Degree,Divorced,4,3,2,No,17.2,0
EMP1177,Employee_178,47,Male,IT,Developer,123444,10287,10,Master's Degree,Single,2,2,4,No,27.1,1
EMP1178,Employee_179,45,Female,IT,Developer,92100,7675,2,Master's Degree,Married,3,3,3,No,5.1,0
EMP1179,Employee_180,36,Male,IT,Developer,126108,10509,15,Master's Degree,Divorced,3,1,2,No,4.1,0
EMP1180,Employee_181,27,Male,Human Resources,HR Specialist,83340,6945,5,Bachelor's Degree,Single,3,4,3,Yes,11.5,1
EMP1181,Employee_182,58,Male,IT,Developer,121932,10161,5,Bachelor's Degree,Married,3,1,3,No,20.5,0
EMP1182,Employee_183,54,Male,Sales,Sales Executive,133152,11096,7,Associate Degree,Divorced,4,2,3,No,22.5,0
EMP1183,Employee_184,38,Male,Human Resources,HR Specialist,127020,10585,18,PhD,Divorced,3,3,2,Yes,26.3,1
EMP1184,Employee_185,52,Female,IT,Developer,138852,11571,13,Master's Degree,Single,4,4,3,Yes,22.6,1
EMP1185,Employee_186,35,Male,Sales,Manager,182136,15178,13,Associate Degree,Divorced,4,1,3,No,25.8,0
EMP1186,Employee_187,28,Male,IT,Developer,95064,7922,7,Master's Degree,Single,3,2,3,No,16.0,0
EMP1187,Employee_188,48,Female,Sales,Sales Executive,157836,13153,18,Bachelor's Degree,Married,3,1,3,No,7.9,0
EMP1188,Employee_189,43,Female,IT,Systems Analyst,114192,9516,5,PhD,Married,3,1,4,Yes,26.9,1
EMP1189,Employee_190,20,Male,IT,Manager,115620,9635,0,Bachelor's Degree,Married,4,3,1,No,14.8,1
EMP1190,Employee_191,52,Female,IT,Systems Analyst,143856,11988,10,Bachelor's Degree,Married,2,4,4,Yes,2.3,0
EMP1191,Employee_192,58,Male,Finance,Manager,195060,16255,10,Bachelor's Degree,Divorced,3,3,3,Yes,4.8,0
EMP1192,Employee_193,31,Male,Research & Development,Laboratory Technician,75432,6286,4,Master's Degree,Married,2,1,2,No,1.0,1
EMP1193,Employee_194,37,Female,Human Resources,HR Specialist,122880,10240,18,Master's Degree,Married,3,4,3,No,18.3,0
EMP1194,Employee_195,48,Male,Sales,Sales Representative,128136,10678,17,Master's Degree,Married,2,2,3,Yes,5.0,1
EMP1195,Employee_196,57,Male,IT,Systems Analyst,143976,11998,11,Associate Degree,Married,1,3,2,No,9.6,0
EMP1196,Employee_197,44,Male,Sales,Manager,198156,16513,17,High School,Divorced,4,3,3,Yes,12.7,0
EMP1197,Employee_198,22,Male,Sales,Manager,127404,10617,1,Master's Degree,Divorced,3,3,3,Yes,11.7,1
EMP1198,Employee_199,23,Male,IT,Developer,70392,5866,1,Bachelor's Degree,Divorced,1,2,3,No,19.7,1
EMP1199,Employee_200,24,Female,Research & Development,Research Scientist,92088,7674,6,Associate Degree,Married,1,3,3,Yes,21.0,1
EMP1200,Employee_201,45,Male,Sales,Manager,201576,16798,17,Master's Degree,Single,2,3,4,Yes,10.1,0
EMP1201,Employee_202,56,Male,Research & Development,Research Scientist,148416,12368,12,Bachelor's Degree,Divorced,4,1,3,Yes,18.6,1
EMP1202,Employee_203,32,Female,Research & Development,Manager,161784,13482,9,Associate Degree,Single,3,2,3,No,25.0,0
EMP1203,Employee_204,58,Female,IT,Manager,196836,16403,12,Bachelor's Degree,Married,4,3,4,No,19.2,0
EMP1204,Employee_205,43,Female,IT,Developer,139452,11621,16,Bachelor's Degree,Married,3,1,3,No,21.6,0
EMP1205,Employee_206,31,Female,IT,Developer,91836,7653,7,Bachelor's Degree,Single,2,4,3,No,9.0,0
EMP1206,Employee_207,51,Female,IT,Developer,171576,14298,23,Bachelor's Degree,Married,3,4,3,No,13.8,0
EMP1207,Employee_208,37,Female,Sales,Sales Executive,96756,8063,2,Bachelor's Degree,Divorced,3,4,4,Yes,6.8,1
EMP1208,Employee_209,57,Male,Human Resources,Manager,234108,19509,22,Bachelor's Degree,Married,3,3,3,No,1.6,0
EMP1209,Employee_210,40,Female,Finance,Accountant,129336,10778,14,Bachelor's Degree,Divorced,1,4,1,Yes,29.7,1
EMP1210,Employee_211,44,Male,Finance,Financial Analyst,127692,10641,8,Associate Degree,Married,1,3,3,No,23.2,0
EMP1211,Employee_212,23,Female,Sales,Sales Representative,49380,4115,3,Bachelor's Degree,Single,2,1,4,No,17.7,1
EMP1212,Employee_213,53,Female,IT,Systems Analyst,149172,12431,12,Bachelor's Degree,Single,3,4,3,Yes,20.3,1
EMP1213,Employee_214,46,Female,IT,Developer,147384,12282,20,Bachelor's Degree,Married,3,3,2,Yes,2.0,0
EMP1214,Employee_215,29,Female,Human Resources,HR Manager,106248,8854,1,Bachelor's Degree,Divorced,3,4,3,No,21.7,0
EMP1215,Employee_216,27,Female,Research & Development,Laboratory Technician,75540,6295,8,Associate Degree,Married,3,1,1,No,22.7,1
EMP1216,Employee_217,36,Male,Sales,Sales Executive,119388,9949,10,Bachelor's Degree,Married,4,3,3,Yes,25.0,1
EMP1217,Employee_218,32,Male,Research & Development,Research Scientist,93660,7805,0,Bachelor's Degree,Divorced,3,3,3,No,20.9,0
EMP1218,Employee_219,40,Male,IT,Manager,189504,15792,16,Associate Degree,Divorced,3,2,3,No,20.6,1
EMP1219,Employee_220,56,Female,Sales,Manager,204708,17059,15,Bachelor's Degree,Divorced,1,3,3,No,7.1,0
EMP1220,Employee_221,55,Male,Research & Development,Laboratory Technician,162300,13525,23,Bachelor's Degree,Married,1,4,3,No,19.8,0
EMP1221,Employee_222,37,Male,Sales,Sales Representative,64188,5349,0,Bachelor's Degree,Married,1,3,2,No,26.8,1
EMP1222,Employee_223,29,Female,Research & Development,Research Scientist,98796,8233,3,Master's Degree,Single,2,3,4,Yes,28.5,1
EMP1223,Employee_224,44,Female,Finance,Manager,196176,16348,15,Bachelor's Degree,Single,2,4,1,No,23.4,0
EMP1224,Employee_225,53,Male,IT,Developer,165396,13783,22,High School,Single,1,3,3,No,16.0,0
EMP1225,Employee_226,55,Male,Research & Development,Manager,229872,19156,24,Bachelor's Degree,Married,4,2,3,Yes,9.4,1
